,No.,Time,Source,Destination,Protocol,Length,Info,Info_01,Commands,Trans,R_W,D_M_I_H,I_C_R,basic_time_diff,Response_time_diff
0,1,0.0,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans:  7011; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,7011.0,Read,Discrete,Inputs,,
1,2,0.000825,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans:  7011; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,7011.0,Read,Discrete,Inputs,0.000825,
2,3,0.001395,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans:  7012; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,7012.0,Write,Multiple,Coils,0.00057,
3,4,0.002072,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans:  7012; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,7012.0,Write,Multiple,Coils,0.0006770000000000001,
4,5,0.002511,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans:  7013; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,7013.0,Read,Input,Registers,0.00043900000000000015,0.001045
5,6,0.003117,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans:  7013; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,7013.0,Read,Input,Registers,0.0006059999999999998,
6,7,0.003501,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans:  7014; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,7014.0,Read,Holding,Registers,0.0003840000000000002,0.0010179999999999998
7,8,0.004135,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans:  7014; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,7014.0,Read,Holding,Registers,0.0006339999999999996,
8,9,0.004627,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans:  7015; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,7015.0,Write,Multiple,Registers,0.0004920000000000002,0.001287
9,10,0.005422,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans:  7015; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,7015.0,Write,Multiple,Registers,0.0007949999999999997,
10,11,0.10493,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans:  7016; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,7016.0,Read,Discrete,Inputs,0.099508,0.100187
11,12,0.105609,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans:  7016; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,7016.0,Read,Discrete,Inputs,0.000678999999999999,
